time,ax,ay,az,aT
1.19,-0.0042,0.0007,0.0047,0.006
1.196,0.0076,-0.0041,0.0046,0.01
1.2,0.0313,-0.004,0.007,0.032
1.205,0.0264,0.0009,0.0045,0.027
1.21,0.0168,0.0033,-0.0003,0.017
1.22,0.0167,0.0058,-0.0003,0.018
1.225,0.0048,0.0106,0.0045,0.012
1.231,0.0048,0.0155,-0.0003,0.016
1.235,0.0025,0.0178,-0.0075,0.019
1.24,0.0001,0.0202,-0.0074,0.022
1.245,-0.0118,0.0249,-0.0097,0.029
1.25,-0.0118,0.0343,-0.0168,0.04
1.255,0.0001,0.0222,-0.0119,0.025
1.259,0.0073,0.0126,0.0072,0.016
1.264,0.0072,0.0127,0.0095,0.017
1.271,0.0049,0.0127,0.0047,0.014
1.276,0.0026,0.0199,0.007,0.021
1.279,-0.014,0.0152,-0.0002,0.021
1.285,-0.0044,0.0199,-0.0049,0.021
1.29,0.0027,0.0197,-0.0073,0.021
1.297,-0.0067,0.0173,-0.0072,0.02
1.299,-0.0018,0.0195,0.0071,0.021
1.304,0.003,0.0171,0.0094,0.02
1.326,0.003,0.0147,-0.0073,0.017
1.327,0.0078,0.0146,-0.0167,0.024
1.327,0.0054,0.0145,-0.0071,0.017
1.327,-0.0041,0.0144,0.0001,0.015
1.335,-0.0088,0.0071,0.0001,0.011
1.338,-0.0016,0.0094,-0.0023,0.01
1.343,-0.0016,0.0069,-0.0023,0.007
1.349,0.0056,0.0045,0.0049,0.009
1.354,0.0127,0.0092,0.0119,0.02
1.361,0.0079,0.0044,0.0118,0.015
1.364,-0.0039,-0.0122,0.0046,0.014
1.368,0.0009,-0.0144,-0.0049,0.015
1.374,-0.0038,-0.0119,-0.0096,0.016
1.378,-0.0109,-0.0213,-0.0048,0.024
1.383,-0.0037,-0.021,-0.0071,0.023
1.388,0.0034,-0.016,-0.0047,0.017
1.397,0.0082,-0.0182,0.0072,0.021
1.398,0.0059,-0.0227,0.0119,0.026
1.403,-0.0012,-0.02,0.0118,0.023
1.407,-0.0036,-0.0127,0.0022,0.013
1.419,-0.0012,-0.0055,-0.0026,0.006
1.42,0.0108,-0.0102,-0.0026,0.015
1.423,0.0084,-0.0196,-0.0049,0.022
1.428,-0.0035,-0.0146,-0.0049,0.016
1.433,-0.0011,-0.0192,0.0046,0.02
1.437,-0.0083,-0.0142,0.0117,0.02
1.447,-0.0058,-0.0023,0.0093,0.011
1.452,0.0062,0.0025,-0.0027,0.007
1.458,0.0062,-0.0023,0.0045,0.008
1.462,-0.0057,0.0025,0.0044,0.008
1.467,-0.0009,-0.0046,-0.0004,0.005
1.472,0.0062,-0.0092,-0.0027,0.011
1.48,0.0086,-0.0043,0.002,0.01
1.482,0.0134,0.0029,0.0139,0.02
1.486,0.0087,0.0054,0.0114,0.015
1.492,0.0039,0.0054,-0.0006,0.007
1.501,0.0038,0.0078,-0.0101,0.013
1.502,-0.0033,0.0054,-0.01,0.012
1.507,-0.0033,0.0031,-0.0004,0.005
1.511,-0.0032,-0.0064,0.0067,0.01
1.516,0.004,-0.0087,0.0019,0.01
1.521,0.0135,-0.0038,0.0042,0.015
1.527,0.0111,0.0011,0.0066,0.013
1.532,0.0087,0.0084,0.0041,0.013
1.536,0.0088,0.0037,0.0112,0.015
1.541,-0.003,0.0014,0.004,0.005
1.546,-0.0029,-0.0057,-0.0032,0.007
1.551,-0.0029,-0.0104,-0.0031,0.011
1.56,-0.0124,-0.0032,-0.0126,0.018
1.565,0.0114,0.0039,-0.0078,0.014
1.571,0.0066,-0.008,-0.0053,0.012
1.579,0.0042,0.0016,0.0042,0.006
1.58,0.0066,0.0088,-0.0006,0.011
1.585,0.0041,-0.0055,-0.0077,0.01
1.59,-0.0054,-0.0079,-0.0029,0.01
1.597,-0.0031,-0.0102,0.0019,0.011
1.6,0.0088,-0.0006,-0.0005,0.009
1.605,0.0135,0.0042,0.009,0.017
1.61,0.0039,0.0043,0.0066,0.009
1.615,-0.008,0.0186,-0.0006,0.02
1.62,-0.0079,0.0209,-0.0006,0.022
1.625,-0.003,0.0136,-0.003,0.014
1.63,-0.0006,0.0041,0.0065,0.008
1.634,-0.0006,0.004,0.0065,0.008
1.639,-0.003,0.0088,-0.0078,0.012
1.644,-0.003,0.0134,-0.0101,0.017
1.649,-0.0005,0.011,-0.0077,0.013
1.655,-0.0052,0.0085,-0.0052,0.011
1.658,-0.0051,0.0133,0.0019,0.014
1.665,-0.0003,0.0156,0.0043,0.016
1.679,-0.0051,0.0132,0.0042,0.015
1.68,0.0093,0.0083,-0.0101,0.016
1.684,0.0022,0.0011,0.0019,0.003
1.688,0.0022,-0.006,0.0043,0.008
1.699,0.0094,-0.0036,0.009,0.013
1.703,0.0046,-0.0011,0.0113,0.012
1.706,-0.005,-0.0034,0.004,0.007
1.711,-0.012,-0.0081,-0.0031,0.015
1.715,-0.0049,-0.0009,-0.0007,0.005
1.724,0.0117,0.0039,0.004,0.013
1.724,0.0069,-0.001,-0.0055,0.009
1.728,0.0046,-0.0033,-0.0078,0.01
1.733,0.0141,0.0016,-0.0101,0.017
1.739,0.0045,0.0135,-0.0029,0.015
1.744,-0.0073,0.0182,0.0042,0.02
1.748,-0.0049,0.0181,-0.0006,0.019
1.753,-0.0049,0.0228,-0.0006,0.023
1.758,-0.0025,0.025,0.0042,0.025
1.762,0.0023,0.0271,0.0089,0.029
1.768,0.0025,0.027,0.0064,0.028
1.772,0.0097,0.0198,0.0064,0.023
1.779,0.0074,0.0126,0.0016,0.015
1.788,0.0004,0.0126,0.0039,0.013
1.795,-0.0043,-0.0112,-0.0104,0.016
1.797,-0.0114,-0.011,-0.015,0.022
1.803,-0.0065,-0.0275,-0.0078,0.029
1.807,0.003,-0.0249,-0.003,0.025
1.813,0.0126,-0.0198,0.0042,0.024
1.817,0.0102,-0.0171,0.0208,0.029
1.822,0.0054,-0.0168,0.0182,0.025
1.827,0.0078,-0.0142,0.0014,0.016
1.832,0.0006,0.0003,-0.0057,0.006
1.837,0.0008,0.0122,-0.0009,0.012
1.842,0.0031,0.0122,-0.0033,0.013
1.846,0.0078,0.0121,-0.0009,0.014
1.851,0.003,0.0167,0.0015,0.017
1.856,-0.0064,0.0237,-0.0033,0.025
1.862,0.0008,0.0212,-0.0033,0.021
1.867,0.0033,0.0186,-0.0032,0.019
1.871,-0.0014,0.0113,-0.0008,0.011
1.877,-0.0037,0.0065,0.0016,0.008
1.881,-0.0013,0.0088,0.0015,0.009
1.887,-0.0012,0.004,-0.0056,0.007
1.891,0.0012,-0.008,0.0016,0.008
1.901,0.0036,-0.0125,0.0158,0.02
1.905,0.0061,-0.0028,-0.0081,0.01
1.912,0.0037,-0.0098,-0.0033,0.011
1.915,-0.0058,-0.0073,0.0039,0.01
1.922,-0.0081,-0.0096,0.0015,0.013
1.926,0.0014,-0.0166,-0.008,0.019
1.93,0.0086,-0.0188,-0.008,0.022
1.935,0.0037,-0.0139,-0.0032,0.015
1.94,0.0013,-0.0113,0.004,0.012
1.947,0.0038,-0.0088,0.0063,0.011
1.95,0.0061,-0.0039,-0.0009,0.007
1.955,0.0013,0.0009,-0.0032,0.004
1.959,0.0013,0.0104,-0.0103,0.015
1.965,0.0059,0.0151,-0.0126,0.021
1.97,-0.0037,0.0244,0.0017,0.025
1.975,-0.0038,0.0336,-0.0006,0.034
1.981,0.0009,0.0333,0.0017,0.033
1.984,0.0009,0.033,0.0065,0.034
1.99,0.0056,0.0375,0.0064,0.038
1.996,0.0103,0.0325,0.0111,0.036
1.999,0.008,0.0252,0.0086,0.028
2.005,0.0081,0.0155,0.0086,0.019
2.016,0.0033,0.0131,-0.0058,0.015
2.019,-0.0038,-0.0035,-0.0033,0.006
2.024,-0.0015,-0.0153,0.0157,0.022
2.029,0.008,-0.0198,0.0227,0.031
2.035,0.008,-0.0171,0.0177,0.026
2.039,0.0104,-0.0073,0.0081,0.015
2.044,0.0128,-0.0071,-0.0086,0.017
2.05,0.0056,-0.0045,-0.0109,0.013
2.054,0.0008,0.0005,0.0034,0.004
2.058,0.0008,0.0103,0.0105,0.015
2.064,-0.0015,0.0175,-0.0039,0.018
2.069,0.001,0.0128,-0.0133,0.019
2.074,0.0105,0.0224,-0.0132,0.028
2.078,0.0129,0.0296,0.0035,0.032
2.084,0.0129,0.0225,0.0106,0.028
2.088,0.0129,0.0369,0.0081,0.04
2.096,-0.0036,0.0393,0.0056,0.04
2.098,-0.0176,0.0298,-0.0111,0.036
2.103,-0.0126,0.0297,-0.0205,0.038
2.108,-0.0077,0.0225,-0.0156,0.028
2.113,-0.0052,0.0224,-0.0036,0.023
2.118,0.002,0.0225,-0.0012,0.023
2.128,0.0021,0.0226,-0.0036,0.023
2.133,0.0046,0.0179,0.0107,0.021
2.138,0.0094,0.0252,0.013,0.03
2.144,0.0142,0.0325,0.0176,0.04
2.147,0.012,0.0399,0.0269,0.05
2.153,0.005,0.0567,0.0243,0.062
2.157,-0.0017,0.0569,0.0122,0.058
2.162,-0.0109,0.057,-0.0117,0.059
2.167,-0.0248,0.0618,-0.033,0.074
2.172,-0.0317,0.057,-0.0422,0.078
2.177,-0.022,0.0474,-0.0253,0.058
2.183,-0.0004,0.057,0.0153,0.059
2.187,0.0187,0.0786,0.065,0.104
2.195,0.0357,0.0718,0.0857,0.117
2.196,0.0456,0.0415,0.0636,0.089
2.202,0.0317,0.0305,0.0155,0.047
2.207,0.006,0.0337,-0.0108,0.036
2.213,-0.0124,0.0344,-0.006,0.037
2.216,-0.0094,0.0184,-0.0107,0.023
2.222,-0.0065,0.0143,-0.0273,0.032
2.227,0.0059,0.0316,-0.0343,0.047
2.231,0.0086,0.0369,-0.0174,0.042
2.242,-0.0076,0.0232,-0.0197,0.031
2.246,0.045,0.0286,-0.0243,0.059
2.251,0.0644,0.0101,-0.0146,0.067
2.256,0.0531,-0.006,-0.0122,0.055
2.261,0.0017,-0.0125,-0.0098,0.016
2.266,-0.057,-0.0309,-0.0382,0.075
2.271,-0.099,-0.073,-0.0569,0.136
2.275,-0.0839,-0.0865,-0.0089,0.121
