time,ax,ay,az,aT
0.918000,0.0096,-0.0100,0.0172,0.022
0.935000,0.0047,0.0159,0.0029,0.017
0.936000,-0.0048,0.0344,-0.0043,0.035
0.936000,-0.0095,0.0482,0.0100,0.050
0.937000,-0.0047,0.0691,0.0123,0.070
0.941000,0.0096,0.0733,0.0098,0.075
0.946000,0.0167,0.0682,0.0050,0.070
0.951000,0.0142,0.0679,0.0002,0.069
0.957000,0.0094,0.0557,0.0002,0.056
0.962000,0.0069,0.0390,0.0144,0.042
0.967000,-0.0050,0.0248,0.0190,0.032
0.972000,-0.0049,0.0155,0.0070,0.018
0.976000,0.0094,0.0086,-0.0073,0.015
0.981000,0.0070,0.0017,-0.0097,0.012
0.988000,0.0046,-0.0075,-0.0072,0.011
0.992000,0.0094,-0.0143,-0.0072,0.019
0.996000,0.0070,-0.0283,-0.0071,0.030
1.001000,0.0047,-0.0446,-0.0047,0.045
1.006000,0.0024,-0.0514,-0.0117,0.053
1.011000,-0.0048,-0.0464,-0.0188,0.050
1.017000,0.0073,-0.0463,-0.0162,0.050
1.028000,0.0191,-0.0486,0.0005,0.052
1.030000,0.0072,-0.0414,0.0029,0.042
1.031000,0.0072,-0.0343,-0.0090,0.036
1.060000,0.0215,-0.0369,0.0006,0.043
1.061000,0.0120,-0.0346,0.0054,0.037
1.062000,0.0049,-0.0205,0.0101,0.023
1.062000,0.0002,-0.0089,0.0124,0.015
1.063000,0.0002,0.0004,0.0004,0.001
1.063000,0.0050,0.0001,-0.0067,0.008
1.066000,0.0025,0.0142,-0.0019,0.015
1.070000,0.0025,0.0402,0.0053,0.041
1.075000,0.0002,0.0422,0.0052,0.043
1.079000,0.0002,0.0444,0.0076,0.045
1.084000,-0.0022,0.0585,0.0194,0.062
1.089000,0.0050,0.0606,0.0097,0.062
1.095000,0.0026,0.0533,0.0049,0.054
1.099000,-0.0117,0.0366,0.0024,0.038
1.110000,-0.0092,0.0319,0.0024,0.033
1.110000,-0.0020,0.0296,0.0071,0.030
1.114000,-0.0019,0.0201,-0.0072,0.021
1.131000,-0.0042,0.0201,-0.0119,0.024
1.132000,-0.0018,0.0107,-0.0071,0.013
1.133000,0.0005,-0.0035,-0.0046,0.006
1.134000,-0.0043,-0.0011,0.0002,0.004
1.140000,-0.0090,0.0013,-0.0022,0.009
1.144000,0.0006,0.0011,0.0002,0.001
1.149000,-0.0018,-0.0062,-0.0069,0.009
1.154000,0.0007,-0.0111,-0.0164,0.020
1.159000,0.0101,-0.0089,-0.0115,0.018
1.164000,0.0005,-0.0138,0.0005,0.014
1.169000,0.0053,-0.0282,0.0005,0.029
1.174000,0.0077,-0.0354,-0.0042,0.037
1.178000,0.0053,-0.0449,0.0053,0.046
1.183000,0.0124,-0.0472,0.0076,0.049
1.189000,0.0123,-0.0447,0.0028,0.046
1.194000,0.0099,-0.0563,0.0099,0.058
1.198000,0.0099,-0.0512,0.0146,0.054
1.210000,0.0098,-0.0247,0.0097,0.028
1.211000,0.0050,-0.0126,0.0144,0.020
1.213000,0.0025,-0.0125,0.0119,0.017
1.242000,0.0073,-0.0099,0.0023,0.012
1.244000,0.0073,-0.0072,-0.0025,0.011
1.244000,0.0026,-0.0022,-0.0001,0.003
1.245000,0.0003,0.0075,0.0047,0.009
1.245000,-0.0043,0.0148,0.0094,0.018
1.245000,-0.0089,0.0197,0.0069,0.023
1.248000,-0.0089,0.0388,-0.0003,0.040
1.256000,-0.0088,0.0386,-0.0050,0.040
1.259000,-0.0063,0.0336,-0.0145,0.037
1.263000,0.0009,0.0405,-0.0191,0.045
1.268000,0.0057,0.0378,-0.0094,0.039
1.273000,-0.0014,0.0327,-0.0165,0.037
1.277000,-0.0084,0.0347,-0.0163,0.039
1.282000,-0.0106,0.0271,0.0004,0.029
1.288000,-0.0082,0.0149,-0.0020,0.017
1.292000,-0.0057,0.0098,-0.0019,0.011
1.297000,-0.0010,0.0094,-0.0019,0.010
1.309000,-0.0034,0.0162,-0.0114,0.020
1.310000,-0.0033,0.0253,-0.0089,0.027
1.312000,0.0062,0.0272,-0.0041,0.028
1.317000,0.0085,0.0243,0.0078,0.027
1.339000,0.0107,0.0050,0.0196,0.023
1.340000,0.0059,-0.0071,0.0147,0.017
1.341000,0.0081,-0.0000,0.0122,0.015
1.341000,0.0080,-0.0024,0.0121,0.015
1.341000,-0.0040,-0.0046,0.0097,0.011
1.346000,-0.0087,-0.0069,0.0048,0.012
1.351000,0.0032,-0.0281,0.0119,0.031
1.356000,0.0198,-0.0467,0.0094,0.052
1.361000,0.0221,-0.0437,0.0070,0.049
1.366000,0.0101,-0.0336,-0.0002,0.035
1.372000,-0.0090,-0.0071,-0.0073,0.014
1.376000,-0.0113,0.0121,-0.0049,0.017
1.381000,-0.0089,0.0336,-0.0334,0.048
1.386000,-0.0137,0.1380,-0.0141,0.139
1.392000,-0.0209,0.2035,0.0026,0.205
1.396000,-0.0089,0.1543,-0.0188,0.156
1.401000,0.0100,0.1437,-0.0234,0.146
