time,ax,ay,az,aT
0.873000,-0.0093,0.0524,0.0027,0.053
0.879000,-0.0068,0.0428,0.0051,0.044
0.884000,-0.0044,0.0117,0.0098,0.016
0.888000,-0.0115,-0.0214,0.0097,0.026
0.897000,-0.0187,-0.0307,0.0025,0.036
0.898000,-0.0045,-0.0352,-0.0118,0.037
0.903000,0.0001,-0.0278,-0.0093,0.029
0.917000,-0.0001,-0.0061,-0.0021,0.006
0.918000,0.0070,0.0035,-0.0069,0.010
0.918000,0.0069,0.0059,-0.0044,0.010
0.923000,0.0091,0.0059,-0.0068,0.013
0.928000,0.0185,0.0011,-0.0115,0.022
0.932000,0.0207,0.0033,-0.0114,0.024
0.938000,0.0110,-0.0039,-0.0041,0.012
0.943000,0.0037,-0.0229,-0.0017,0.023
0.948000,-0.0011,-0.0347,-0.0017,0.035
0.953000,0.0084,-0.0393,-0.0041,0.040
0.957000,0.0155,-0.0367,0.0055,0.040
0.963000,0.0153,-0.0247,0.0173,0.034
0.968000,0.0153,-0.0104,0.0195,0.027
0.972000,0.0082,-0.0034,0.0075,0.012
0.980000,-0.0012,-0.0105,-0.0068,0.013
0.982000,-0.0178,0.0038,-0.0044,0.019
0.987000,-0.0200,0.0204,0.0028,0.029
1.001000,-0.0104,0.0251,0.0004,0.027
1.002000,-0.0104,0.0226,0.0075,0.026
1.002000,-0.0009,0.0130,0.0146,0.020
1.007000,0.0133,0.0106,0.0121,0.021
1.011000,0.0180,0.0058,0.0143,0.024
1.017000,0.0132,-0.0131,-0.0024,0.019
1.021000,0.0012,-0.0224,-0.0119,0.025
1.029000,-0.0106,-0.0055,-0.0047,0.013
1.031000,-0.0176,-0.0030,-0.0023,0.018
1.037000,-0.0174,-0.0076,-0.0070,0.020
1.041000,-0.0125,0.0045,-0.0093,0.016
1.046000,-0.0173,0.0070,-0.0045,0.019
1.052000,-0.0101,-0.0073,-0.0021,0.013
1.056000,0.0065,-0.0191,-0.0068,0.021
1.062000,0.0110,-0.0167,-0.0067,0.021
1.066000,0.0133,-0.0048,0.0028,0.014
1.071000,0.0155,0.0119,0.0099,0.022
1.080000,0.0155,0.0047,0.0098,0.019
1.080000,0.0061,-0.0096,0.0050,0.012
1.086000,-0.0057,-0.0167,0.0026,0.018
1.091000,-0.0079,-0.0167,-0.0046,0.019
1.101000,-0.0102,-0.0120,-0.0093,0.018
1.102000,-0.0173,-0.0097,-0.0068,0.021
1.105000,-0.0196,0.0093,0.0004,0.022
1.110000,-0.0125,0.0234,-0.0091,0.028
1.116000,-0.0195,0.0018,-0.0138,0.024
1.120000,-0.0051,-0.0124,0.0077,0.015
1.126000,0.0187,-0.0075,0.0100,0.023
1.130000,0.0091,-0.0099,0.0004,0.013
1.135000,0.0091,-0.0027,-0.0020,0.010
1.140000,0.0161,0.0163,-0.0043,0.023
1.145000,0.0159,0.0209,0.0005,0.026
1.150000,0.0158,0.0159,0.0123,0.026
1.155000,0.0134,0.0182,0.0146,0.027
1.160000,-0.0030,0.0181,0.0050,0.019
1.164000,-0.0266,0.0205,-0.0046,0.034
1.170000,-0.0313,0.0156,-0.0164,0.039
1.177000,-0.0217,0.0132,-0.0258,0.036
1.180000,-0.0026,0.0107,-0.0065,0.013
1.185000,0.0068,0.0154,-0.0017,0.017
1.190000,-0.0051,0.0059,-0.0065,0.010
1.199000,-0.0121,-0.0106,0.0126,0.020
1.201000,-0.0119,-0.0224,0.0101,0.027
