time,wx,wy,wz
1.491,-0.00,0.00,0.00
1.491,-0.00,0.00,0.00
1.493,0.00,0.00,0.00
1.496,0.00,0.00,0.00
1.498,0.00,0.00,0.00
1.502,-0.00,0.00,0.00
1.504,-0.00,0.00,0.00
1.507,-0.00,0.00,0.00
1.51,-0.00,0.00,0.00
1.512,-0.00,0.00,0.00
1.514,-0.00,-0.00,0.00
1.517,-0.00,-0.00,0.00
1.519,0.00,0.00,-0.00
1.521,-0.00,0.00,-0.00
1.524,-0.00,0.00,0.00
1.526,0.00,0.00,-0.00
1.529,-0.00,0.00,-0.00
1.531,0.00,0.00,-0.00
1.533,0.00,0.00,-0.00
1.536,-0.00,0.00,0.00
1.538,0.00,0.00,0.00
1.541,0.00,-0.00,0.00
1.544,-0.00,0.00,0.00
1.546,-0.00,-0.00,0.00
1.548,0.00,-0.00,0.00
1.551,0.00,-0.00,0.00
1.553,0.00,-0.00,0.00
1.555,0.00,-0.00,0.00
1.558,0.00,0.00,0.00
1.561,0.00,0.00,0.00
1.563,0.00,0.00,0.00
1.565,0.00,0.00,-0.00
1.568,-0.00,0.00,-0.00
1.57,-0.00,0.00,0.00
1.573,-0.00,0.00,-0.00
1.575,0.00,0.00,-0.00
1.578,0.00,0.00,-0.00
1.581,0.00,0.00,0.00
1.584,-0.00,0.00,0.00
1.586,-0.00,0.00,0.00
1.588,0.00,0.00,0.00
1.59,0.00,0.00,0.00
1.592,-0.00,0.00,0.00
1.595,-0.00,0.00,0.00
1.598,0.00,0.00,0.00
1.6,0.00,0.00,0.00
1.603,-0.00,0.00,0.00
1.606,-0.00,0.00,0.00
1.608,-0.00,0.00,0.00
1.613,-0.00,0.00,0.00
1.613,-0.00,0.00,0.00
1.615,-0.00,0.00,0.00
1.618,-0.00,0.00,0.00
1.62,-0.00,0.00,0.00
1.623,-0.00,0.00,0.00
1.629,-0.00,0.00,-0.00
1.63,-0.00,0.00,-0.00
1.631,-0.00,-0.00,-0.00
1.632,-0.00,0.00,0.00
1.635,-0.00,-0.00,0.00
1.637,-0.00,-0.00,0.00
1.64,-0.00,-0.00,0.00
1.644,-0.00,-0.00,0.00
1.647,-0.00,-0.00,0.00
1.649,-0.00,-0.00,0.00
1.65,-0.00,-0.00,-0.00
1.652,-0.00,0.00,-0.00
1.655,-0.00,0.00,-0.00
1.658,-0.00,0.00,0.00
1.662,-0.00,0.00,-0.00
1.662,-0.00,0.00,-0.00
1.665,-0.00,0.00,-0.00
1.667,-0.00,0.00,-0.00
1.67,0.00,0.00,-0.00
1.672,-0.00,0.00,-0.00
1.675,-0.00,0.00,-0.00
1.677,0.00,0.00,-0.00
1.68,0.00,0.00,-0.00
1.69,-0.00,0.00,-0.00
1.69,0.00,-0.00,-0.00
1.69,0.00,-0.00,-0.00
1.69,0.00,0.00,-0.00
1.692,0.00,0.00,-0.00
1.695,-0.00,0.00,-0.00
1.697,-0.00,0.00,-0.00
1.699,0.00,0.00,-0.00
1.702,0.00,0.00,-0.00
1.705,0.00,0.00,-0.00
1.707,0.00,0.00,-0.00
1.71,0.00,0.00,-0.00
1.713,0.00,0.00,-0.00
1.716,0.00,0.00,-0.00
1.717,-0.00,0.00,-0.00
1.72,-0.00,0.00,-0.00
1.722,0.00,0.00,-0.00
1.724,0.00,-0.00,-0.00
1.727,0.00,-0.00,-0.00
1.73,0.00,-0.00,-0.00
1.734,0.00,-0.00,-0.00
1.734,0.00,-0.00,-0.00
1.737,0.00,0.00,-0.00
1.74,0.00,-0.00,-0.00
1.742,0.00,-0.00,-0.00
1.746,0.00,0.00,-0.00
1.747,0.00,-0.00,-0.00
1.749,0.00,0.00,-0.00
1.751,0.00,0.00,-0.00
1.753,0.00,0.00,-0.00
1.756,0.00,0.00,-0.00
1.758,0.00,0.00,-0.00
1.764,0.00,0.00,-0.00
1.765,0.00,0.00,-0.00
1.766,0.00,0.00,-0.00
1.768,0.00,0.00,-0.00
1.771,0.00,0.00,-0.00
1.774,0.00,-0.00,-0.00
1.778,0.00,0.00,-0.00
1.778,0.00,0.00,0.00
1.781,-0.00,0.00,0.00
1.784,0.00,0.00,0.00
1.785,-0.00,0.00,0.00
1.79,-0.00,0.00,0.00
1.792,-0.00,0.00,0.00
1.795,-0.00,0.00,0.00
1.797,-0.00,0.00,0.00
1.797,-0.00,0.00,0.00
1.8,-0.00,0.00,0.00
1.803,-0.00,0.00,0.00
1.808,-0.00,0.00,0.01
1.808,-0.00,0.00,0.01
1.81,-0.00,0.00,0.01
1.813,-0.00,0.00,0.01
1.819,-0.00,0.00,0.01
1.819,0.00,-0.00,0.01
1.819,-0.00,0.00,0.01
1.825,-0.00,0.00,0.01
1.825,-0.00,0.00,0.01
1.829,0.00,0.00,0.01
1.83,-0.00,0.00,0.01
1.832,0.00,0.00,0.01
1.835,-0.00,0.00,0.01
1.837,-0.00,0.00,0.01
1.839,-0.00,0.00,0.01
1.842,-0.00,0.00,0.01
1.846,-0.00,0.00,0.01
1.848,0.00,-0.00,0.01
1.85,-0.00,0.00,0.01
1.852,-0.00,0.00,0.01
1.855,-0.00,0.00,0.01
1.857,-0.00,0.00,0.01
1.86,-0.00,0.00,0.01
1.861,-0.00,0.00,0.01
1.864,-0.00,0.00,0.01
1.866,-0.00,-0.00,0.01
1.87,-0.00,-0.00,0.01
1.872,-0.00,0.00,0.02
1.876,-0.00,-0.00,0.01
1.877,-0.00,-0.00,0.01
