time,wx,wy,wz
0.862,-0.00,-0.00,0.00
0.864,-0.00,-0.00,0.00
0.866,-0.01,0.00,0.00
0.869,-0.00,0.00,0.00
0.872,-0.00,0.00,0.00
0.874,-0.01,0.00,0.00
0.879,-0.00,0.00,0.00
0.880,-0.00,0.00,0.00
0.881,-0.00,0.00,0.00
0.884,-0.01,0.00,0.00
0.886,-0.01,0.00,0.00
0.888,-0.00,0.01,0.00
0.891,-0.01,0.00,0.00
0.901,-0.00,0.00,0.00
0.902,-0.00,0.00,0.00
0.902,-0.01,0.00,0.00
0.902,-0.00,0.00,-0.00
0.904,-0.01,0.00,0.00
0.906,-0.00,0.00,-0.00
0.909,-0.00,0.00,-0.00
0.911,-0.00,0.00,-0.00
0.914,-0.00,0.00,-0.00
0.917,-0.00,0.00,-0.00
0.918,-0.00,-0.00,0.00
0.921,-0.00,-0.00,0.00
0.923,0.00,-0.00,0.00
0.928,0.00,-0.00,0.00
0.928,0.00,-0.00,0.00
0.931,0.00,0.00,0.01
0.934,0.00,0.00,0.01
0.935,0.00,-0.00,0.00
0.938,0.00,-0.00,0.01
0.941,0.00,0.00,0.00
0.942,0.00,-0.00,0.00
0.946,0.00,-0.00,0.00
0.947,0.01,-0.01,0.00
0.951,0.01,-0.00,0.00
0.953,0.01,-0.00,0.00
0.955,0.01,-0.01,0.00
0.958,0.01,-0.00,0.00
0.962,0.01,-0.00,0.00
0.963,0.01,-0.00,0.00
0.966,0.01,-0.00,-0.00
0.968,0.01,-0.00,-0.00
0.970,0.01,0.00,-0.00
0.972,0.01,0.00,-0.00
0.975,0.01,0.00,-0.00
0.984,0.00,0.00,-0.00
0.984,0.00,0.00,-0.00
0.985,0.00,-0.00,-0.00
0.985,0.00,-0.00,-0.00
0.987,0.00,-0.00,-0.00
0.990,0.00,0.00,0.00
0.992,0.00,-0.00,0.00
0.994,-0.00,0.00,0.00
0.997,-0.00,0.00,0.00
1.000,-0.00,0.00,0.00
1.003,-0.00,-0.00,0.00
1.004,-0.00,-0.01,0.00
1.008,-0.00,-0.00,0.00
1.010,-0.00,-0.01,0.00
1.013,-0.00,-0.00,0.01
1.015,-0.00,-0.01,0.01
1.017,0.00,-0.01,0.01
1.020,0.00,-0.01,0.01
1.022,0.00,-0.01,0.01
1.025,0.00,-0.01,0.01
1.027,0.00,-0.00,0.01
1.030,0.00,-0.00,0.01
1.032,0.00,-0.00,0.01
1.035,0.00,-0.00,0.01
1.038,0.00,-0.00,0.00
1.039,-0.00,0.00,0.00
1.042,0.00,0.00,0.00
1.048,0.00,0.00,0.00
1.048,0.00,-0.00,0.00
1.050,0.00,0.00,0.00
1.052,0.00,0.00,0.00
