time,wx,wy,wz
0.870,0.00,-0.00,-0.00
0.871,-0.00,-0.00,-0.01
0.873,0.00,-0.00,-0.01
0.885,0.00,0.00,-0.01
0.887,0.00,0.00,-0.01
0.888,0.00,-0.00,-0.01
0.888,-0.00,0.00,-0.01
0.888,-0.00,-0.00,-0.01
0.888,-0.00,-0.00,-0.01
0.903,-0.00,-0.00,-0.01
0.904,-0.00,-0.01,-0.01
0.904,-0.00,-0.01,-0.01
0.904,-0.00,-0.01,-0.01
0.905,-0.00,-0.01,-0.01
0.905,0.00,-0.01,-0.01
0.906,0.00,-0.00,-0.01
0.911,0.00,-0.01,-0.01
0.911,0.00,-0.00,-0.01
0.913,0.00,-0.00,-0.01
0.915,0.00,-0.00,-0.01
0.917,0.00,-0.00,-0.01
0.920,0.00,-0.00,-0.01
0.922,0.00,-0.00,-0.01
0.927,0.00,-0.00,-0.01
0.927,-0.00,-0.00,-0.01
0.930,-0.00,0.00,-0.01
0.932,0.00,-0.00,-0.01
0.934,0.00,-0.00,-0.01
0.937,0.00,-0.00,-0.01
0.940,-0.00,0.00,-0.01
0.943,-0.00,-0.00,-0.00
0.944,-0.00,-0.00,-0.00
0.947,-0.00,-0.00,-0.00
0.950,0.00,-0.00,-0.00
0.951,0.00,0.00,-0.00
0.954,-0.00,-0.00,-0.01
0.956,0.00,0.00,-0.01
0.960,0.00,0.00,-0.01
0.963,-0.00,0.00,-0.01
0.965,0.00,0.00,-0.01
0.967,-0.00,0.00,-0.01
0.969,-0.00,0.00,-0.01
0.972,-0.00,0.00,-0.01
0.974,-0.00,0.00,-0.01
0.983,0.00,0.00,-0.01
0.984,0.00,0.00,-0.01
0.984,0.00,0.00,-0.01
0.985,0.00,0.00,-0.01
0.987,-0.00,0.00,-0.01
0.989,-0.00,0.00,-0.01
0.992,0.00,0.00,-0.01
0.996,0.00,0.00,-0.01
0.997,0.00,0.00,-0.00
0.999,0.00,0.01,-0.00
1.001,0.00,0.00,-0.00
1.004,0.00,0.00,-0.00
1.006,0.00,0.00,0.00
1.010,0.00,0.00,0.00
1.012,0.00,0.00,0.00
1.013,0.00,0.00,0.00
1.016,0.00,0.00,0.00
1.019,-0.00,0.00,0.00
1.021,-0.00,0.00,0.00
1.023,-0.00,0.00,0.00
1.026,-0.00,0.00,-0.00
1.029,-0.00,0.00,-0.00
1.031,-0.00,0.00,-0.00
1.033,-0.01,0.00,-0.01
1.036,-0.01,0.00,-0.01
1.038,-0.01,0.00,-0.01
1.041,-0.01,0.00,-0.01
1.043,-0.01,0.00,-0.01
1.046,-0.01,-0.00,-0.01
1.048,-0.01,-0.00,-0.01
1.051,-0.01,-0.00,-0.01
